site_va	kind	status	label	legacy_label	target_va	legacy_target_va	span_end
0x100d8a3d	tramp1	NEW	地狱雷光系数		0x76f61a	-	0x76f61f
0x100d8ae8	memcpy	SAME	地狱雷光系数	地狱雷光系数	0x76f61a	0x76f61a	0x76f61f
0x100d8cde	tramp1	NEW	地狱雷光范围		0x76f63d	-	0x76f646
0x100d8da0	memcpy	SAME	地狱雷光范围	地狱雷光范围	0x76f63d	0x76f63d	0x76f646
0x100d8e0f	tramp1	NEW	爆裂火焰可换主属性		0x76f23b	-	0x76f249
0x100d8ee7	memcpy	SAME	爆裂火焰可换主属性	爆裂火焰可换主属性	0x76f23b	0x76f23b	0x76f249
0x100d8f56	tramp1	NEW	爆裂火焰范围及系数		0x76f26b	-	0x76f272
0x100d901d	memcpy	SAME	爆裂火焰范围及系数	爆裂火焰范围及系数	0x76f26b	0x76f26b	0x76f272
0x100d908c	tramp1	NEW	地狱雷光可换主属性		0x76f5fb	-	0x76f609
0x100d9164	memcpy	SAME	地狱雷光可换主属性	地狱雷光可换主属性	0x76f5fb	0x76f5fb	0x76f609
0x100d91d3	tramp1	NEW	激光电影可换主属性		0x76e9b5	-	0x76e9c3
0x100d92ab	memcpy	SAME	激光电影可换主属性	激光电影可换主属性	0x76e9b5	0x76e9b5	0x76e9c3
0x100d931a	tramp1	NEW	激光范围及系数		0x76ea07	-	0x76ea0d
0x100d93d6	memcpy	SAME	激光范围及系数	激光范围及系数	0x76ea07	0x76ea07	0x76ea0d
0x100d95ba	tramp1	NEW	激光命中概率		0x76ea14	-	0x76ea19
0x100d9665	memcpy	SAME	激光命中概率	激光命中概率	0x76ea14	0x76ea14	0x76ea19
0x100d96d4	tramp1	NEW	火球主属性切换		0x76e3e6	-	0x76e3f4
0x100d97ac	memcpy	SAME	火球主属性切换	火球主属性切换	0x76e3e6	0x76e3e6	0x76e3f4
0x100d9974	tramp1	NEW	火球自定义范围		0x76e425	-	0x76e42e
0x100d9a36	memcpy	SAME	火球自定义范围	火球自定义范围	0x76e425	0x76e425	0x76e42e
0x100d9aa5	tramp1	NEW	雷电主属性切换		0x76ea8a	-	0x76ea98
0x100d9b7d	memcpy	SAME	雷电主属性切换	雷电主属性切换	0x76ea8a	0x76ea8a	0x76ea98
0x100d9d45	tramp1	NEW	雷电自定义范围		0x76eb06	-	0x76eb0f
0x100d9e07	memcpy	SAME	雷电自定义范围	雷电自定义范围	0x76eb06	0x76eb06	0x76eb0f
0x100d9e76	tramp1	NEW	冰咆哮主属性切换		0x76f2cb	-	0x76f2d9
0x100d9f4e	memcpy	SAME	冰咆哮主属性切换	冰咆哮主属性切换	0x76f2cb	0x76f2cb	0x76f2d9
0x100d9fbd	tramp1	NEW	冰咆哮主属性切换		0x76f2cb	-	0x76f2d9
